,id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,lot_shape,utilities,lot_config,land_slope,neighborhood,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,heating_qc,electrical,low_qual_fin_sf,gr_liv_area,full_bath,half_bath,kitchen_abvgr,kitchen_qual,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,pool_area,pool_qc,fence,misc_val,mo_sold,yr_sold,saleprice,original,porch,total_sf,total_rooms
0,109,533352170,sixty,RL,0.0,13517,2,3,CulDSac,2,Sawyer,2Story,6,8,1976,2005,Gable,HdBoard,Plywood,BrkFace,289.0,3,2,CBlock,4.0,4.0,1.0,6.0,533.0,1.0,0.0,192.0,4,4.0,0,1479,2.0,1.0,1,3,7,0,0.0,Attchd,1976.0,2.0,2.0,475.0,4.0,4.0,2,0,0,0.0,0.0,0,3,2010,11.779128505744886,train,1,2204.0,9
1,544,531379050,sixty,RL,43.0,11492,2,3,CulDSac,2,SawyerW,2Story,7,5,1996,1997,Gable,VinylSd,VinylSd,BrkFace,132.0,3,2,PConc,5.0,4.0,1.0,6.0,637.0,1.0,0.0,276.0,4,4.0,0,2122,3.0,1.0,1,3,7,1,4.0,Attchd,1997.0,2.0,2.0,559.0,4.0,4.0,2,0,0,0.0,0.0,0,4,2009,12.301382825334498,train,1,3035.0,12
2,153,535304180,twenty,RL,68.0,7922,3,3,Inside,2,NAmes,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,None,0.0,2,3,CBlock,4.0,4.0,1.0,6.0,731.0,1.0,0.0,326.0,2,4.0,0,1057,2.0,0.0,1,3,7,0,0.0,Detchd,1953.0,1.0,1.0,246.0,4.0,4.0,2,0,0,0.0,0.0,0,1,2010,11.59910316121128,train,1,2114.0,8
3,318,916386060,sixty,RL,73.0,9802,3,3,Inside,2,Timber,2Story,5,5,2006,2007,Gable,VinylSd,VinylSd,None,0.0,2,2,PConc,5.0,4.0,1.0,1.0,0.0,1.0,0.0,384.0,3,4.0,0,1444,2.0,1.0,1,2,7,0,0.0,BuiltIn,2007.0,3.0,2.0,400.0,4.0,4.0,2,100,0,0.0,0.0,0,4,2010,12.066810578196666,train,0,1828.0,10
4,255,906425045,fifty,RL,82.0,14235,2,3,Inside,2,SawyerW,1.5Fin,6,8,1900,1993,Gable,Wd Sdng,Plywood,None,0.0,2,2,PConc,3.0,5.0,1.0,1.0,0.0,1.0,0.0,676.0,2,4.0,0,1445,2.0,0.0,1,2,7,0,0.0,Detchd,1957.0,1.0,2.0,484.0,4.0,4.0,0,0,0,0.0,0.0,0,3,2010,11.83862560460953,train,1,2121.0,9
5,138,535126040,twenty,RL,137.0,16492,2,3,Corner,2,NAmes,1Story,6,6,1966,2002,Gable,BrkFace,Plywood,None,0.0,3,2,CBlock,4.0,4.0,1.0,5.0,247.0,3.0,713.0,557.0,4,4.0,0,1888,2.0,1.0,1,3,4,1,5.0,Attchd,1966.0,3.0,2.0,578.0,4.0,4.0,2,0,0,0.0,0.0,0,6,2010,12.154779351142624,train,0,3405.0,8
6,2827,908186070,hundredeighty,RM,35.0,3675,3,3,Inside,2,Edwards,SFoyer,6,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,82.0,2,2,PConc,5.0,4.0,4.0,6.0,547.0,1.0,0.0,0.0,3,4.0,0,1072,3.0,0.0,1,2,7,0,0.0,Basment,2005.0,3.0,2.0,525.0,4.0,4.0,2,0,0,0.0,0.0,0,6,2006,11.84939770159144,train,1,1619.0,7
7,145,535154050,twenty,RL,0.0,12160,2,3,Inside,2,NAmes,1Story,5,5,1959,1959,Hip,Plywood,Plywood,BrkFace,180.0,2,2,CBlock,4.0,4.0,1.0,3.0,1000.0,1.0,0.0,188.0,1,4.0,0,1188,2.0,0.0,1,2,7,0,0.0,Attchd,1959.0,2.0,2.0,531.0,4.0,4.0,2,0,0,0.0,3.0,0,5,2010,11.863582336583399,train,0,2376.0,9
8,1942,535353130,twenty,RL,0.0,15783,3,3,Inside,2,OldTown,1Story,5,5,1952,1952,Gable,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,4.0,4.0,1.0,3.0,292.0,1.0,0.0,632.0,2,4.0,0,924,1.0,0.0,1,2,7,0,0.0,Detchd,1952.0,1.0,1.0,420.0,4.0,4.0,2,0,0,0.0,3.0,400,6,2007,11.630708500626612,train,1,1848.0,8
9,1956,535426130,sixty,RL,70.0,11606,2,3,Inside,0,NAmes,2Story,5,5,1969,1969,Gable,Plywood,Plywood,BrkFace,192.0,2,2,PConc,5.0,4.0,3.0,3.0,650.0,1.0,0.0,390.0,2,4.0,0,2080,1.0,3.0,1,1,7,2,4.0,Attchd,1969.0,1.0,2.0,504.0,4.0,4.0,2,335,0,0.0,0.0,0,9,2007,11.813030057420567,train,0,3120.0,14
10,1044,527451290,hundredsixty,RM,21.0,1680,3,3,Inside,2,BrDale,2Story,6,5,1971,1971,Gable,HdBoard,HdBoard,BrkFace,232.0,2,2,CBlock,4.0,4.0,1.0,5.0,387.0,1.0,0.0,96.0,2,4.0,0,987,1.0,1.0,1,2,7,0,0.0,Detchd,1971.0,1.0,1.0,264.0,4.0,4.0,2,0,0,0.0,0.0,0,7,2008,11.355101379776661,train,0,1470.0,6
